fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,16954,17025,1,0.916754,0.0084032,model
1,17026,17097,-1,0.198194,0.0050843,model
1,17115,17186,-1,0.349101,-0.0027549,model
1,17187,17258,-1,0.279372,0.00235786,model
1,17273,17344,-1,0.34519,-0.01334319,model
1,17345,17416,-1,0.094724,0.0030731,model
1,17421,17492,-1,0.295697,-0.00297271,model
1,17493,17564,-1,0.323407,0.00232879,model
1,17565,17636,-1,0.14845,0.00221268,model
1,17638,17709,-1,0.346974,-0.01284926,model
1,17710,17781,-1,0.017256,-0.00087564,model
1,17782,17853,-1,0.197575,-0.00199965,model
1,17858,17929,1,0.688695,-0.00342953,model
1,17933,18004,1,0.746092,-0.00050474,model
1,18012,18083,-1,0.345633,0.00338748,model
1,18103,18174,-1,0.326144,0.00336777,model
1,18187,18258,-1,0.320255,-0.00109738,model
1,18259,18330,-1,0.121414,-0.0005728,model
1,18331,18402,-1,0.168952,0.00599037,model
1,18403,18474,-1,0.304734,0.0010996,model
1,18475,18546,1,0.710784,-0.00460392,model
1,18556,18627,-1,0.324859,-0.00573368,model
1,18628,18699,-1,0.231841,0.00589019,model
1,18700,18771,1,0.770484,0.00064178,model
1,18772,18843,1,0.802553,-0.00100468,model
1,18844,18915,1,0.650371,0.00874998,model
1,18916,18987,-1,0.086757,-0.00175311,model
1,18988,19059,-1,0.165528,0.00223546,model
1,19060,19131,-1,0.243704,0.00473458,model
1,19132,19203,-1,0.1849,0.00035758,model
1,19215,19286,1,0.654267,-0.00071458,model
1,19291,19362,-1,0.256419,0.0033269,model
1,19363,19434,1,0.826847,-0.00670024,model
1,19435,19506,1,0.961095,0.00465301,model
1,19507,19578,1,0.883338,0.00050152,model
1,19579,19650,-1,0.077917,-0.00071602,model
1,19655,19726,1,0.74595,0.00355849,model
1,19733,19804,1,0.652711,0.00726348,model
1,19805,19876,-1,0.169247,-0.00170818,model
1,19877,19948,-1,0.322018,-0.00075535,model
1,19949,20020,-1,0.25788,0.00753544,model
1,20021,20092,1,0.806361,0.00123419,model
1,20093,20164,1,0.676418,-9.472e-05,model
1,20172,20243,-1,0.22162,-0.00701331,model
1,20244,20315,-1,0.184219,0.00420541,model
1,20316,20387,1,0.692389,0.00255027,model
1,20388,20459,1,0.759721,0.00206809,model
1,20461,20532,-1,0.233061,0.01055355,model
1,20554,20625,1,0.7511,0.00287364,model
1,20630,20701,-1,0.279937,0.00034426,model
1,20708,20779,-1,0.321934,-0.00147669,model
1,20780,20851,-1,0.198781,-0.00423259,model
1,20852,20923,-1,0.056369,0.00090937,model
1,20927,20998,1,0.770983,0.00112546,model
1,20999,21070,-1,0.072111,0.00212389,model
1,21071,21142,-1,0.055988,0.01074531,model
1,21143,21214,1,0.741544,1.263e-05,model
1,21215,21286,1,0.790841,-0.00064864,model
1,21287,21358,1,0.698417,0.00218937,model
1,21360,21431,-1,0.248059,-0.00520802,model
1,21432,21503,-1,0.298442,0.00284606,model
1,21512,21583,-1,0.342415,-0.00099575,model
1,21584,21655,-1,0.337887,0.01382256,model
1,21656,21727,1,0.964614,0.0017559,model
1,21729,21800,1,0.706111,0.00365056,model
1,21801,21872,-1,0.051922,-0.00313202,model
1,21873,21944,-1,0.103179,-0.01357329,model
1,21945,22016,-1,0.307071,0.00332065,model
1,22017,22088,1,0.950804,0.00076049,model
1,22089,22160,-1,0.268758,-0.00422237,model
1,22161,22232,-1,0.090323,-0.00641324,model
1,22233,22304,-1,0.095986,0.00230735,model
1,22305,22376,1,0.896541,-0.00120324,model
1,22377,22448,-1,0.205825,-0.00078593,model
1,22449,22520,-1,0.036913,0.00417981,model
1,22521,22592,-1,0.33356,0.0003499,model
1,22612,22683,-1,0.237161,0.00132981,model
1,22684,22755,-1,0.205433,0.01881771,model
1,22756,22827,1,0.946743,0.0028641,model
1,22841,22912,-1,0.291945,0.00172068,model
1,22913,22984,-1,0.055658,0.00194191,model
1,22985,23056,-1,0.095131,0.00381092,model
1,23057,23128,-1,0.222898,-0.0072957,model
1,23129,23200,-1,0.07108,0.00044275,model
1,23201,23272,-1,0.02557,-0.00606904,model
